unique_reads	ambig_reads	total_reads
0	28	28
0	0	0
0	4	4
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	13	14
0	0	0
0	0	0
0	0	0
0	3	3
0	4	4
0	0	0
0	0	0
0	0	0
2	1	3
0	1	1
0	0	0
0	0	0
0	0	0
5	2	7
0	0	0
0	0	0
0	0	0
0	8	8
0	0	0
0	6	6
0	6	6
0	7	7
0	2	2
2	12	14
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	3	3
0	0	0
0	1	1
0	3	3
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	6	6
0	0	0
0	0	0
2	5195	5197
1	35905	35906
1	60527	60528
0	1	1
5	101396	101401
0	31067	31067
6	120596	120602
0	3833	3833
0	0	0
0	1	1
0	0	0
0	0	0
2	103	105
0	1	1
0	0	0
0	0	0
0	0	0
0	8	8
0	1	1
0	1	1
0	5	5
0	1	1
0	2	2
0	2	2
0	1	1
0	1	1
0	13	13
0	0	0
0	0	0
0	1	1
0	5	5
0	0	0
0	1	1
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	1	1
0	27	27
0	9	9
3	9	12
0	0	0
0	3	3
0	0	0
0	5	5
10	1	11
0	0	0
0	6	6
0	3	3
18	36	54
0	5	5
0	26	26
0	10	10
0	18	18
0	45	45
0	1	1
0	12	12
0	44	44
0	19	19
0	17	17
0	0	0
0	7	7
0	5	5
0	1	1
0	6	6
0	15	15
0	12	12
0	4	4
0	0	0
0	2	2
0	2	2
0	1	1
0	15	15
0	6	6
0	8	8
0	22	22
0	3	3
0	4	4
0	3	3
0	10	10
0	2	2
0	11	11
0	13	13
0	4	4
0	2	2
0	0	0
0	3	3
0	2	2
0	1	1
0	0	0
0	1	1
0	1	1
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	1	1
0	2	2
0	0	0
23	10	33
0	6	6
0	1	1
0	205	205
0	201	201
0	1	1
0	177	177
0	2	2
0	4	4
0	24	24
0	0	0
0	5	5
0	176	176
0	27	27
0	0	0
0	0	0
0	0	0
0	0	0
0	608	608
2	188	190
1	610	611
0	0	0
0	1	1
0	0	0
34	2	36
0	0	0
0	0	0
0	0	0
12	2	14
0	3	3
0	3	3
0	0	0
0	1	1
0	4	4
0	4	4
0	1	1
0	0	0
6	2	8
2	254	256
0	251	251
0	252	252
0	42	42
0	912	912
0	23	23
0	911	911
0	0	0
0	0	0
0	1120	1120
0	1120	1120
0	1118	1118
0	1119	1119
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	481	484
0	52	52
0	51	51
0	53	53
0	3	3
0	32	32
0	54	54
0	49	49
0	35	35
0	36	36
0	0	0
0	3	3
0	0	0
1	0	1
0	0	0
0	59	59
0	55	55
0	58	58
0	60	60
1	22	23
0	56	56
3	61	64
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2704	2704
0	2705	2705
0	2702	2702
5	707	712
0	701	701
0	0	0
0	2	2
317	0	317
1	1	2
0	1	1
0	2	2
0	0	0
0	0	0
7	3	10
0	510	510
6	534	540
0	513	513
0	225	225
0	307	307
0	29	29
0	6	6
0	0	0
0	1	1
0	15	15
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	39	39
0	0	0
0	39	39
0	39	39
0	0	0
0	39	39
0	0	0
0	0	0
1	306	307
0	306	306
0	120	120
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
154	29	183
0	0	0
0	0	0
0	0	0
0	0	0
0	29	29
0	20	20
0	94	94
0	498	498
0	495	495
0	135	135
0	38	38
0	477	477
0	504	504
0	138	138
16	27	43
1	14	15
0	21	21
0	385	385
0	29	29
0	1	1
0	0	0
0	328	328
0	0	0
0	0	0
0	0	0
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	3	3
0	0	0
0	40	40
0	40	40
2	40	42
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	2
0	4	4
752	5	757
0	1	1
5	3	8
0	417	417
2	420	422
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	7	7
0	18	18
0	17	17
4	18	22
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
54	2336	2390
0	2329	2329
1	2231	2232
0	2335	2335
0	3	3
0	1	1
0	0	0
0	89	89
3	133	136
0	90	90
0	52	52
92	316	408
0	110	110
0	107	107
0	86	86
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	2	2
0	143	143
0	0	0
0	0	0
0	0	0
0	0	0
0	154	154
0	150	150
0	135	135
0	170	170
0	62	62
0	138	138
0	30	30
0	37	37
0	90	90
0	0	0
0	38	38
0	18	18
0	94	94
0	20	20
1	1080	1081
0	92	92
2	1082	1084
0	4	4
0	1	1
0	0	0
0	0	0
0	7	7
0	19	19
0	20	20
0	19	19
0	0	0
0	0	0
0	1	1
3	0	3
0	0	0
2	0	2
0	0	0
0	0	0
0	0	0
0	322	322
19	321	340
0	0	0
1	15	16
0	0	0
0	13	13
0	81	81
0	71	71
2	78	80
0	2	2
0	44	44
7	44	51
0	15	15
0	15	15
0	0	0
0	243	243
0	224	224
0	242	242
0	230	230
0	239	239
0	0	0
0	1	1
0	0	0
1	0	1
5	0	5
975	287	1262
29	279	308
0	7	7
25	8	33
0	0	0
1	1	2
0	0	0
0	0	0
0	0	0
21	6	27
7	132	139
0	58	58
0	148	148
0	147	147
0	46	46
0	108	108
0	116	116
1	1	2
0	0	0
0	55	55
0	6	6
0	13	13
0	8	8
0	6	6
0	0	0
0	147	147
0	0	0
0	0	0
0	43	43
0	1	1
0	0	0
0	0	0
0	36	36
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	3	3
0	2	2
0	6	6
0	0	0
0	5	5
0	2	2
0	5	5
0	4	4
0	1	1
0	1	1
0	3	3
0	2	2
0	1	1
0	404	404
0	292	292
0	127	127
0	60	60
0	18	18
0	15	15
0	16	16
0	20	20
0	2	2
3	1	4
0	6	6
0	387	387
0	386	386
0	11	11
0	0	0
0	0	0
0	0	0
0	4	4
0	424	424
0	325	325
0	49	49
0	2	2
0	57	57
0	4	4
0	74	74
0	91	91
0	68	68
0	8	8
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	59	62
0	0	0
1	5	6
0	0	0
0	7	7
0	1	1
0	1	1
0	1	1
0	0	0
2	596	598
0	596	596
0	594	594
0	59	59
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	929	929
0	1677	1677
0	1700	1700
0	1469	1469
0	299	299
0	822	822
0	468	468
0	311	311
0	500	500
0	318	318
0	43	43
0	714	714
0	62	62
0	53	53
0	694	694
0	29	29
0	29	29
0	27	27
0	250	250
0	25	25
0	38	38
0	41	41
0	3	3
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
3	1	4
0	0	0
0	2	2
0	1	1
0	1	1
0	3	3
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
57	69	126
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	61	61
0	0	0
0	33	33
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	56	56
0	0	0
0	13	13
0	37	37
0	0	0
0	0	0
2	2	4
0	0	0
0	34	34
5	51	56
0	85	85
0	107	107
0	6	6
37	663	700
0	112	112
0	669	669
0	667	667
1	682	683
0	639	639
0	43	43
0	13	13
0	0	0
0	0	0
0	0	0
0	0	0
154	1	155
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	13	15
0	11	11
1	10	11
0	0	0
2	1	3
0	0	0
4	4	8
0	7	7
5	2	7
0	0	0
0	1	1
0	0	0
6	2	8
0	0	0
1	0	1
0	1421	1421
0	7	7
0	1443	1443
0	87	87
0	6	6
1	1050	1051
0	2	2
2	447	449
1	44	45
0	297	297
0	295	295
0	149	149
0	192	192
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	162	162
0	162	162
0	25	25
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	16	17
0	16	16
2	3	5
0	1	1
7	4	11
0	0	0
3	4	7
0	13	13
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	171	171
0	50	50
0	2	2
0	1	1
0	4	4
4	192	196
0	108	108
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	109	109
0	107	107
0	108	108
0	112	112
0	1	1
0	74	74
0	0	0
0	0	0
0	0	0
0	0	0
0	111	111
0	0	0
0	65	65
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	20	20
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
17	1	18
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
34	36	70
0	36	36
0	36	36
0	0	0
0	1	1
0	0	0
1	33	34
0	0	0
0	21	21
0	21	21
0	7	7
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
7	715	722
0	713	713
4	118	122
0	117	117
4	0	4
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
4	0	4
0	11	11
0	13	13
0	0	0
0	0	0
0	0	0
0	11	11
0	0	0
0	13	13
0	0	0
0	0	0
0	11	11
0	0	0
0	0	0
0	0	0
0	0	0
2	0	2
0	0	0
0	0	0
0	3	3
0	23	23
0	1	1
0	20	20
1	53	54
0	0	0
0	0	0
0	23	23
0	1	1
0	43	43
0	48	48
0	38	38
0	37	37
0	5	5
0	22	22
0	4	4
0	8	8
0	6	6
0	9	9
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
0	8	8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	54	54
0	0	0
0	52	52
0	0	0
368	4	372
0	1	1
0	1	1
0	0	0
2	0	2
0	37	37
0	101	101
0	96	96
0	92	92
0	36	36
0	99	99
0	92	92
0	45	45
0	36	36
0	72	72
1	31	32
0	27	27
0	41	41
0	16	16
0	14	14
0	23	23
0	0	0
2	6	8
0	0	0
0	1	1
0	0	0
0	0	0
0	2	2
0	2	2
0	1	1
0	0	0
0	0	0
0	23	23
0	22	22
0	23	23
0	29	29
0	27	27
0	28	28
0	21	21
0	14	14
0	0	0
0	3	3
0	82	82
5	98	103
0	97	97
0	21	21
0	29	29
0	75	75
0	78	78
0	81	81
0	51	51
0	1	1
0	0	0
0	0	0
0	1	1
0	4	4
1	4	5
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	2
0	0	0
0	1	1
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	31	31
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	2	2
0	2	2
0	2	2
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	40	40
0	37	37
0	19	19
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	6	6
0	0	0
0	0	0
0	0	0
0	28	28
0	4	4
0	44	44
0	4	4
0	57	57
1	0	1
0	5	5
0	2	2
0	22	22
0	60	60
0	1	1
0	5	5
0	17	17
0	0	0
0	1	1
0	40	40
0	14	14
0	0	0
0	0	0
0	4	4
0	0	0
0	18	18
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	19	19
0	4	4
0	17	17
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	2
1579	3554	5133
4	3544	3548
11	3545	3556
0	1453	1453
0	55	55
0	4	4
0	2	2
7	0	7
4	1	5
7	26	33
