unique_reads	ambig_reads	total_reads
0	29	29
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	11	12
0	0	0
0	0	0
0	1	1
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
3	1	4
0	0	0
0	0	0
0	1	1
0	0	0
1	3	4
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	3	3
0	2	2
0	2	2
0	0	0
3	13	16
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	3	3
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	8	8
0	7	7
0	1	1
0	2	2
0	5	5
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	0	0
1	3576	3577
0	33045	33045
0	74469	74469
0	3	3
0	72300	72300
0	27393	27393
1	90885	90886
1	2081	2082
0	0	0
0	1	1
0	0	0
0	0	0
3	108	111
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	3	4
0	12	12
0	0	0
0	1	1
0	0	0
0	4	4
0	1	1
0	3	3
10	1	11
0	0	0
0	1	1
0	2	2
7	21	28
1	9	10
2	23	25
0	10	10
0	14	14
0	25	25
0	0	0
0	4	4
0	28	28
0	13	13
0	13	13
2	0	2
0	2	2
0	6	6
0	1	1
0	0	0
0	8	8
0	4	4
0	1	1
0	1	1
0	0	0
0	0	0
0	4	4
0	10	10
0	3	3
0	1	1
0	11	11
0	0	0
0	0	0
0	1	1
0	4	4
0	0	0
0	7	7
0	8	8
0	1	1
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	5	5
0	2	2
0	3	3
0	0	0
21	9	30
0	3	3
0	0	0
0	119	119
0	123	123
0	0	0
0	88	88
0	1	1
0	0	0
0	12	12
0	1	1
0	1	1
0	83	83
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
1	407	408
2	97	99
6	405	411
0	0	0
0	1	1
1	0	1
39	4	43
0	1	1
0	0	0
0	0	0
9	3	12
0	6	6
0	6	6
0	0	0
0	0	0
0	4	4
0	4	4
0	0	0
0	1	1
6	11	17
1	274	275
0	270	270
0	265	265
0	30	30
0	485	485
0	11	11
0	485	485
0	0	0
1	0	1
0	1289	1289
0	1289	1289
0	1278	1278
0	1278	1278
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
15	331	346
0	20	20
0	18	18
0	16	16
0	2	2
0	13	13
0	19	19
0	16	16
0	9	9
0	9	9
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	60	60
0	44	44
0	49	49
0	60	60
5	28	33
0	60	60
2	61	63
0	0	0
0	4	4
0	0	0
0	1	1
0	1	1
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
