unique_reads	ambig_reads	total_reads
0	47	47
0	0	0
0	4	4
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	14	15
0	3	3
0	1	1
0	1	1
0	0	0
0	8	8
0	0	0
0	0	0
0	0	0
1	3	4
0	0	0
0	0	0
0	0	0
0	0	0
2	4	6
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	7	7
0	5	5
0	7	7
0	0	0
6	15	21
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	1	1
1	0	1
0	3	3
0	3	3
0	1	1
0	6	6
1	1	2
0	0	0
0	0	0
0	2	2
0	1	1
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	3	3
0	1	1
0	1	1
0	2	2
0	0	0
0	0	0
0	0	0
0	3	3
0	1	1
0	1	1
1	2	3
0	1	1
0	3	3
0	2	2
0	2	2
0	0	0
0	1	1
0	1	1
0	9	9
0	0	0
0	0	0
0	2917	2917
1	40151	40152
3	349603	349606
0	2	2
1	119567	119568
0	25769	25769
4	78885	78889
2	3377	3379
0	0	0
0	4	4
0	1	1
0	0	0
11	153	164
2	4	6
0	0	0
0	0	0
0	0	0
0	5	5
0	1	1
0	3	3
0	5	5
0	1	1
0	2	2
0	4	4
0	1	1
0	0	0
1	8	9
0	1	1
0	1	1
0	3	3
0	5	5
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	23	23
0	2	2
0	4	4
0	0	0
0	3	3
0	0	0
0	0	0
12	2	14
0	0	0
0	4	4
0	4	4
17	29	46
0	8	8
0	25	25
1	9	10
0	23	23
0	26	26
0	2	2
0	7	7
0	32	32
0	9	9
0	20	20
0	2	2
0	4	4
0	7	7
0	2	2
0	4	4
0	12	12
0	7	7
0	3	3
0	5	5
0	4	4
0	0	0
0	4	4
0	11	11
0	10	10
0	2	2
0	13	13
0	3	3
0	2	2
0	3	3
0	5	5
0	2	2
0	14	14
0	13	13
0	5	5
2	3	5
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	4	4
0	1	1
0	0	0
0	0	0
0	0	0
0	2	2
1	0	1
1	2	3
0	0	0
15	6	21
0	1	1
0	0	0
0	83	83
0	79	79
0	0	0
0	64	64
0	1	1
0	0	0
0	6	6
0	0	0
0	1	1
0	62	62
0	13	13
0	0	0
0	0	0
0	0	0
0	0	0
0	499	499
1	73	74
4	492	496
0	0	0
0	4	4
0	0	0
61	7	68
0	0	0
0	0	0
0	0	0
8	7	15
0	14	14
0	16	16
0	0	0
0	0	0
0	13	13
0	13	13
0	3	3
0	3	3
4	6	10
0	308	308
0	302	302
0	303	303
0	42	42
0	743	743
0	27	27
0	739	739
0	0	0
0	0	0
0	563	563
0	564	564
0	555	555
0	555	555
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	131	134
0	16	16
3	37	40
0	38	38
0	0	0
0	28	28
0	37	37
0	35	35
0	21	21
0	14	14
0	0	0
0	2	2
2	0	2
0	0	0
0	0	0
0	86	86
0	53	53
0	61	61
0	83	83
2	52	54
0	79	79
4	85	89
0	0	0
0	7	7
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2105	2105
0	2103	2103
0	2094	2094
15	284	299
0	271	271
0	1	1
0	7	7
198	1	199
2	1	3
0	0	0
0	1	1
0	0	0
0	0	0
1	3	4
0	388	388
7	401	408
0	390	390
0	202	202
0	256	256
0	9	9
0	17	17
0	0	0
0	1	1
0	3	3
0	1	1
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
0	2	2
0	1	1
0	70	70
0	0	0
0	70	70
0	67	67
0	0	0
0	65	65
0	0	0
0	0	0
12	255	267
2	256	258
0	93	93
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
121	12	133
0	0	0
0	0	0
0	0	0
0	0	0
5	13	18
0	5	5
0	60	60
0	562	562
0	564	564
0	87	87
0	22	22
1	559	560
0	562	562
0	99	99
23	52	75
7	40	47
0	26	26
0	491	491
0	23	23
0	2	2
0	4	4
0	436	436
0	0	0
0	1	1
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	4	4
0	5	5
0	0	0
0	38	38
0	56	56
2	61	63
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
