unique_reads	ambig_reads	total_reads
0	17	17
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	11	12
0	0	0
0	0	0
0	0	0
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
1	2	3
0	0	0
0	1	1
1	0	1
0	0	0
8	1	9
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	14	14
0	9	9
0	11	11
0	1	1
3	6	9
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	4	4
0	3	3
0	0	0
0	2	2
0	5	5
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	4010	4010
0	32303	32303
1	76765	76766
0	1	1
1	73999	74000
0	19114	19114
1	72204	72205
0	2684	2684
0	0	0
0	0	0
0	0	0
0	0	0
2	123	125
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	1	1
0	0	0
0	3	3
0	1	1
0	1	1
0	1	1
0	1	1
0	0	0
0	14	14
0	1	1
0	1	1
0	0	0
0	3	3
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	17	17
0	2	2
0	4	4
0	0	0
0	3	3
0	1	1
0	4	4
6	3	9
0	1	1
0	2	2
0	3	3
7	20	27
0	11	11
0	21	21
1	6	7
0	13	13
0	27	27
0	0	0
0	9	9
0	25	25
0	14	14
0	14	14
0	2	2
0	5	5
0	4	4
0	2	2
0	5	5
0	5	5
0	5	5
0	4	4
0	3	3
0	5	5
0	0	0
0	4	4
0	8	8
0	9	9
0	12	12
0	13	13
0	4	4
0	0	0
0	2	2
0	5	5
0	2	2
0	6	6
0	10	10
0	4	4
0	2	2
0	0	0
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
36	15	51
0	10	10
0	0	0
0	223	223
0	224	224
0	1	1
0	195	195
0	1	1
0	3	3
0	20	20
0	0	0
0	2	2
0	191	191
0	29	29
0	0	0
0	0	0
0	0	0
0	1	1
1	515	516
1	195	196
3	519	522
0	0	0
0	2	2
1	0	1
42	2	44
0	0	0
0	0	0
0	0	0
12	7	19
0	4	4
0	7	7
0	0	0
0	1	1
0	4	4
0	4	4
0	2	2
0	1	1
3	2	5
0	319	319
0	314	314
0	319	319
0	65	65
0	558	558
0	8	8
1	557	558
0	0	0
2	0	2
0	757	757
0	757	757
0	754	754
0	755	755
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
10	323	333
0	41	41
0	38	38
0	37	37
0	0	0
0	21	21
0	37	37
0	35	35
0	16	16
0	20	20
0	0	0
0	3	3
0	0	0
0	0	0
0	1	1
0	43	43
0	39	39
0	41	41
0	43	43
1	14	15
0	43	43
1	42	43
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1901	1901
0	1901	1901
0	1900	1900
3	557	560
0	554	554
0	1	1
0	4	4
207	0	207
1	3	4
0	1	1
1	3	4
0	1	1
0	0	0
1	4	5
0	297	297
4	315	319
0	297	297
0	147	147
0	175	175
0	10	10
0	6	6
1	0	1
0	1	1
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
