unique_reads	ambig_reads	total_reads
0	8	8
0	0	0
0	3	3
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
4	0	4
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
1	0	1
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	2	2
0	0	0
0	2	2
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	1548	1548
0	8789	8789
0	24600	24600
0	0	0
2	29690	29692
0	7250	7250
7	29627	29634
1	1153	1154
0	0	0
0	0	0
0	0	0
0	0	0
0	42	42
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	10	10
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	2	2
0	0	0
0	0	0
0	2	2
0	0	0
5	8	13
0	2	2
0	4	4
0	2	2
0	2	2
0	10	10
0	0	0
0	1	1
0	9	9
0	4	4
0	3	3
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	3	3
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	3	3
0	1	1
0	1	1
0	3	3
0	0	0
0	1	1
0	0	0
0	2	2
0	1	1
0	2	2
0	1	1
0	0	0
0	1	1
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
10	5	15
0	2	2
0	1	1
0	65	65
0	64	64
0	0	0
0	57	57
0	0	0
0	0	0
0	5	5
0	0	0
0	2	2
0	55	55
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
1	167	168
0	69	69
1	170	171
0	0	0
0	0	0
0	0	0
6	1	7
0	0	0
0	0	0
0	0	0
0	3	3
0	1	1
0	2	2
0	0	0
0	0	0
0	2	2
0	2	2
0	2	2
0	0	0
0	0	0
0	73	73
0	69	69
0	73	73
0	20	20
0	271	271
0	14	14
1	270	271
0	0	0
0	0	0
0	327	327
0	327	327
0	326	326
0	326	326
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	159	159
0	41	41
0	11	11
0	10	10
0	0	0
0	10	10
0	11	11
0	8	8
0	7	7
0	2	2
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	18	18
0	13	13
0	17	17
0	17	17
1	7	8
0	15	15
0	16	16
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
