unique_reads	ambig_reads	total_reads
0	16	16
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	6	6
0	1	1
0	0	0
0	1	1
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
2	1	3
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	6	6
0	4	4
0	7	7
0	2	2
1	7	8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	5	5
0	0	0
0	1	1
1	0	1
0	1	1
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
0	0	0
0	0	0
0	0	0
0	4	4
0	3	3
0	0	0
0	1	1
0	0	0
0	2	2
0	1	1
0	0	0
0	0	0
8	2928	2936
2	20985	20987
1	158824	158825
0	3	3
1	51665	51666
0	13775	13775
4	45518	45522
1	1729	1730
0	0	0
0	0	0
0	0	0
0	0	0
5	70	75
4	1	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	4	5
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	9	9
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	1	1
1	1	2
0	0	0
0	4	4
0	2	2
10	29	39
0	14	14
1	18	19
0	6	6
0	16	16
0	34	34
0	1	1
0	5	5
0	30	30
0	9	9
0	18	18
1	1	2
0	0	0
0	4	4
0	1	1
0	4	4
0	3	3
0	4	4
0	4	4
0	6	6
0	3	3
0	0	0
0	6	6
0	8	8
0	3	3
0	4	4
0	4	4
0	2	2
0	2	2
0	1	1
0	2	2
0	3	3
0	3	3
0	5	5
0	1	1
0	2	2
0	0	0
0	3	3
0	1	1
0	1	1
0	0	0
0	1	1
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	2	2
0	1	1
0	1	1
3	2	5
0	1	1
0	0	0
0	43	43
0	43	43
0	0	0
0	36	36
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	32	32
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
1	325	326
1	81	82
0	325	325
0	0	0
0	6	6
0	0	0
28	2	30
0	0	0
0	0	0
0	0	0
14	5	19
0	4	4
0	4	4
0	0	0
0	0	0
0	3	3
0	3	3
0	0	0
0	0	0
6	9	15
0	364	364
0	361	361
1	357	358
0	68	68
0	449	449
0	19	19
2	434	436
0	0	0
0	0	0
0	670	670
1	664	665
0	650	650
0	656	656
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
8	270	278
0	27	27
1	36	37
0	37	37
0	1	1
0	29	29
