unique_reads	ambig_reads	total_reads
0	9	9
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	3	3
0	3	3
0	2	2
0	0	0
3	3	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	1	1
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	4	4
0	0	0
0	2	2
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
0	0	0
0	0	0
1	1276	1277
0	24848	24848
0	165112	165112
0	0	0
2	70496	70498
0	22013	22013
2	70380	70382
1	1608	1609
0	0	0
0	1	1
0	0	0
0	0	0
3	86	89
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	3	3
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
2	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	10	10
0	0	0
0	1	1
0	0	0
2	1	3
0	0	0
0	2	2
0	0	0
0	0	0
0	3	3
0	0	0
6	17	23
1	3	4
0	8	8
1	5	6
0	12	12
0	15	15
0	0	0
0	7	7
0	15	15
0	6	6
0	10	10
0	1	1
0	2	2
0	4	4
0	1	1
0	1	1
0	3	3
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	8	8
0	3	3
0	1	1
0	6	6
0	0	0
0	4	4
0	0	0
0	6	6
0	1	1
0	4	4
0	3	3
0	0	0
0	2	2
0	0	0
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
17	3	20
0	1	1
0	0	0
0	61	61
0	61	61
0	0	0
0	41	41
0	1	1
0	2	2
0	7	7
0	0	0
0	3	3
0	39	39
0	8	8
0	0	0
0	1	1
0	0	0
0	0	0
0	205	205
0	46	46
3	199	202
0	0	0
0	6	6
0	2	2
18	2	20
0	0	0
0	0	0
0	0	0
4	2	6
0	3	3
0	4	4
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
10	5	15
0	90	90
0	90	90
0	87	87
0	12	12
1	226	227
0	10	10
0	225	225
0	0	0
0	1	1
0	372	372
0	373	373
0	363	363
0	363	363
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
2	81	83
0	7	7
0	11	11
0	12	12
0	0	0
0	4	4
0	13	13
0	12	12
0	6	6
0	5	5
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	17	17
0	10	10
0	17	17
0	19	19
1	9	10
0	17	17
1	15	16
0	0	0
0	2	2
0	2	2
0	2	2
0	2	2
0	2	2
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	889	889
0	891	891
0	883	883
1	140	141
0	132	132
0	2	2
0	8	8
98	1	99
0	0	0
1	1	2
0	1	1
0	0	0
0	0	0
2	1	3
0	147	147
3	153	156
0	149	149
0	60	60
0	79	79
0	3	3
0	5	5
0	0	0
0	1	1
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	20	20
0	0	0
1	20	21
0	20	20
0	0	0
0	20	20
0	0	0
0	0	0
7	155	162
1	155	156
0	61	61
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
38	10	48
0	0	0
0	0	0
0	0	0
0	0	0
1	10	11
0	3	3
0	28	28
0	190	190
0	187	187
0	31	31
0	4	4
0	188	188
0	186	186
0	30	30
11	21	32
4	13	17
0	7	7
0	160	160
0	11	11
0	0	0
0	0	0
0	147	147
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	13	13
0	18	18
0	21	21
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
232	1	233
0	1	1
0	1	1
1	186	187
0	185	185
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	9	9
0	13	13
0	12	12
1	13	14
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
19	703	722
0	700	700
0	672	672
0	703	703
0	3	3
0	1	1
0	0	0
0	55	55
0	68	68
0	49	49
0	23	23
77	175	252
0	72	72
0	80	80
0	66	66
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	58	58
0	0	0
0	3	3
0	0	0
0	0	0
0	53	53
0	50	50
0	55	55
0	67	67
0	21	21
0	60	60
0	3	3
0	7	7
0	32	32
0	0	0
0	9	9
0	11	11
0	44	44
0	6	6
0	337	337
0	21	21
1	338	339
0	3	3
0	4	4
0	1	1
0	0	0
2	5	7
0	6	6
0	6	6
0	6	6
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	1	1
1	1	2
0	0	0
0	112	112
10	112	122
0	0	0
0	7	7
0	1	1
0	3	3
0	38	38
0	22	22
2	34	36
0	0	0
0	25	25
7	26	33
0	4	4
2	4	6
0	0	0
0	99	99
0	93	93
0	99	99
0	94	94
0	96	96
0	0	0
0	0	0
0	0	0
2	0	2
1	1	2
330	44	374
12	45	57
0	1	1
14	1	15
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
3	4	7
11	62	73
0	22	22
0	64	64
0	65	65
0	13	13
0	41	41
0	53	53
0	5	5
0	0	0
0	26	26
0	4	4
0	5	5
0	8	8
0	2	2
0	0	0
0	66	66
0	1	1
0	0	0
0	13	13
0	1	1
0	0	0
0	0	0
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	1	1
0	2	2
0	0	0
0	1	1
1	1	2
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	179	179
0	140	140
0	65	65
0	34	34
0	14	14
0	18	18
0	19	19
0	11	11
0	3	3
3	1	4
0	7	7
0	147	147
0	146	146
1	5	6
0	1	1
0	0	0
0	0	0
0	1	1
0	190	190
0	146	146
0	13	13
0	3	3
0	34	34
0	5	5
0	31	31
0	38	38
0	28	28
0	11	11
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
4	29	33
0	0	0
0	2	2
0	0	0
0	8	8
0	0	0
0	1	1
0	0	0
0	0	0
0	213	213
0	212	212
0	208	208
0	14	14
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	155	155
0	531	531
0	544	544
0	453	453
0	74	74
0	286	286
0	138	138
0	52	52
0	139	139
0	71	71
0	11	11
0	355	355
0	24	24
