"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HAO2",396.913647317098,-5.01916294225007,0.239878079585832,2.92697041491428e-99,4.1009782483364e-95
"CYP3A4",388.582262370043,-5.74196432806673,0.305958913635036,2.90250300428797e-80,2.03334847965394e-76
"CYP1A1",944.573482478373,7.53035705530699,0.401350600653358,1.36940596645125e-78,6.39558233198282e-75
"HSD17B6",287.526761983458,-4.19537715052738,0.24457583827803,1.46947717010547e-67,5.14721115758692e-64
"SELENBP1",1529.08650370944,-2.73186672200942,0.164517643477671,3.66821466226136e-63,1.02790711265888e-59
"ADH1B",1539.39122134388,-5.05494713415933,0.327599779727077,7.72361387614467e-55,1.80359256697772e-51
"CYP2C8",116.307509761405,-5.19897756182519,0.354726427996604,1.9152982623121e-49,3.8336062790364e-46
"KNG1",852.442976312812,-2.85471964019577,0.203440458186832,7.05125989355205e-46,1.23494002960697e-42
"RRM2",758.657787865552,4.79629863713922,0.347936636693755,4.20348110544321e-44,6.54388597426275e-41
"CYP1B1",1440.91879230243,5.91353665962985,0.435182539703523,1.97134114959216e-43,2.76204608469358e-40
"C6",785.25351633178,-2.09912078878058,0.156062980137226,2.36011283740657e-42,3.00614008771849e-39
"TDO2",285.253673701723,-2.95372072435697,0.230296352724585,9.95903406921748e-39,1.16280021953172e-35
"SLC37A2",190.154314371534,3.44809386951115,0.271417112204239,4.12995850203431e-38,4.45114219784637e-35
"PCLAF",375.740754760537,4.19772897670343,0.33408919188453,1.50693753758332e-37,1.50812155993428e-34
"CDK1",256.326503394357,4.80773423639131,0.390466231667168,5.28830130562387e-36,4.93962597287307e-33
"CYP4B1",769.596462237758,-2.96980296042624,0.244323943248649,2.85560149452195e-35,2.50061453373419e-32
"RIDA",1143.80351210711,-1.4785509517853,0.1234552038056,5.41697765445538e-34,4.46454552450437e-31
"FABP1",290.159016077188,-4.61525473967863,0.39059213751995,4.17751348879023e-33,3.25173008285778e-30
"CYP3A5",947.925696076779,-3.24075005820012,0.27819577300632,1.20617232105296e-32,8.89456862645952e-30
"ETNK2",1726.25806047953,-2.06207370388252,0.178679780377295,4.9998319015102e-32,3.50263223860297e-29
"TK1",228.472697308444,4.29521715953558,0.377016242829784,1.75267219688825e-31,1.16936619764768e-28
"ALB",111505.055248116,-2.09531767854823,0.189656207954072,1.67346067847087e-29,1.06576625300251e-26
"ADH1C",54.392943002607,-4.30071242162142,0.386265738593157,1.78044662673734e-29,1.08460163857464e-26
"CENPU",164.941963638912,4.2705479318589,0.388384365825528,6.35046592087943e-29,3.52112973602121e-26
"GATM",1505.54543866368,-2.51257931070231,0.230048841887184,6.1687338557701e-29,3.52112973602121e-26
"TUBA1B",2849.73312169733,2.89949913463226,0.265629715412164,6.53410699711308e-29,3.52112973602121e-26
"F2",407.783466043652,-1.78411667620028,0.163482282502479,9.90863766895726e-29,5.14184897702816e-26
"TYMS",745.044605732995,2.9006708670751,0.267760236080939,1.61273519668365e-28,8.07001172883381e-26
"MFSD2A",114.936610508836,-2.33432861969812,0.216404305578115,3.22466104749356e-28,1.55795606677353e-25
"ZWINT",220.416972343417,4.44126577740237,0.416757957299157,7.11827693732732e-28,3.32447260562977e-25
"STMN1",411.259410421914,3.2266159410739,0.302375565012347,1.14750091006338e-27,5.1863339519026e-25
"TOP2A",214.248354218184,4.1137471483225,0.38897778790751,1.67894745818046e-27,7.351166511427e-25
"PTTG1",163.193928670455,4.04666963521078,0.378861899827347,2.30289213711127e-27,9.77752173729273e-25
"EHHADH",535.28186834328,-1.72440600200488,0.162633127298299,2.72082288120732e-27,1.12121909966458e-24
"ACAD11",324.574362144841,-1.60271133151392,0.15198824283837,4.92245781924803e-27,1.97053018587097e-24
"ABRACL",749.472508798257,-1.84202970069925,0.17499251627215,5.56567361870696e-27,2.16612925199176e-24
"IGFBP1",389.915903069533,4.22052352697222,0.404101494971976,1.05232911656679e-26,3.98491439249115e-24
"ABCG8",56.6672078780833,-4.18485772173191,0.397320966507205,1.1852206924259e-26,4.37003345304718e-24
"DHCR24",3005.37942439351,-1.65861746385509,0.158846463283584,1.49629012417417e-26,5.37551818712929e-24
"SLCO2B1",98.0175146365183,-3.33006815520307,0.328055023305638,1.83780074508961e-25,6.43735655986262e-23
"PDZK1",301.753351617656,-2.09772579190061,0.206908900762228,2.58628290575012e-25,8.83814872986949e-23
"ASF1B",149.440007989058,4.61478559184436,0.454613148009527,1.3525469085662e-24,4.5120320799812e-22
"C4BPB",333.803383795119,-2.1749586823591,0.218604647620935,1.883970917171e-24,6.13867826057742e-22
"TCF19",147.537152495119,4.30803548527112,0.438796196110589,3.15078650891277e-24,1.00331067673584e-21
"PCNA",1269.72691843016,2.45104861251791,0.248089903853103,3.3777845092734e-24,1.05169197243177e-21
"SMIM14",747.473692739927,-1.67539066218861,0.169953194840466,4.59069318935529e-24,1.3982652668708e-21
"PEPD",662.344916995466,-1.55748787569814,0.15777082214942,5.92004015436761e-24,1.76480175750733e-21
"RDH16",57.16589350513,-6.3763970402002,0.637971238751568,1.29327117526431e-23,3.71529446520156e-21
"RNASE4",209.2964186088,-1.83666883013126,0.188263018030031,1.29933215898135e-23,3.71529446520156e-21
"GLYCTK",220.214527511386,-2.22147719330316,0.23015581044078,2.88001246862975e-23,8.07037093959429e-21
"AURKB",92.7970588748311,4.30003177506718,0.445607528809874,6.67927194608264e-23,1.83496625954047e-20
"HMGN2",2384.7187681706,1.36776304093909,0.142732031380155,1.15164403029291e-22,3.10301625162192e-20
"ABAT",292.16257393811,-2.65931385380469,0.278776072609465,1.19624432585644e-22,3.16237344331596e-20
"RRAD",161.444757733554,3.31247989640261,0.350998545962901,2.57693558954391e-22,6.68619343427772e-20
"ANG",314.717596740649,-1.78962632882772,0.189625242058174,3.56101912398339e-22,9.07153435384205e-20
"CRYL1",282.28094182967,-1.69555857895906,0.180271117078809,4.09698294026178e-22,1.02505049957157e-19
"DIO1",82.7012685990322,-4.12069730876086,0.447775972344522,1.17872717379699e-21,2.89739411088942e-19
