"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"C6",785.25351633178,-3.53333169373767,0.16397896939997,4.68083154477878e-104,6.55831307738955e-100
"HAO2",396.913647317098,-4.7991274042722,0.231357468735379,2.52636888931543e-96,1.76984772540992e-92
"KNG1",852.442976312812,-4.40928510932154,0.213223691064718,3.79743639494135e-96,1.77352937765077e-92
"ADH1B",1539.39122134388,-6.90805148695741,0.347252035889173,1.43501548343985e-89,5.02650048461893e-86
"HSD17B6",287.526761983458,-6.13884079489963,0.312438077656244,4.9607043033964e-86,1.39008855989774e-82
"CYP3A4",388.582262370043,-5.39294209778776,0.290032304710196,3.14022527108741e-77,7.33294937886761e-74
"RBP4",23452.9793285064,-3.71622522922492,0.20250989561763,1.71689380691067e-76,3.43648558980363e-73
"F2",407.783466043652,-2.81319745818681,0.171294868836534,7.84017116303678e-62,1.37310797706635e-58
"ALB",111505.055248116,-2.99422069846547,0.189253627366864,1.2079098007843e-57,1.88044713542098e-54
"SELENBP1",1529.08650370944,-2.54132570156692,0.16408863142305,2.25846781245797e-55,3.16433925203486e-52
"UGDH",1308.41571390726,-1.93177218441879,0.134962248585029,9.85990886544957e-48,1.25588348285285e-44
"ITIH4",972.238646148748,-2.56149967031548,0.182866624724949,7.35601259711119e-46,8.58875770817707e-43
"TF",8694.57133156969,-5.32381395223311,0.382232241617159,2.26084035196233e-45,2.43666416702647e-42
"ASGR1",178.514160842852,-4.30189397784799,0.309725644815872,4.79130080072365e-45,4.79506539420993e-42
"CPB2",1576.45026694732,-3.58235683186176,0.259082805138731,6.66304875514161e-45,6.2237317405526e-42
"ANG",314.717596740649,-2.68532803029831,0.196657243351961,1.3926168470676e-43,1.2194971652665e-40
"APOH",3431.42989322642,-3.09308925219962,0.22817518612333,3.86896705871239e-43,3.18871161527172e-40
"ABRACL",749.472508798257,-2.32156906058047,0.176725048794932,1.05633082124405e-40,8.22236174247244e-38
"C4BPA",276.60864535252,-3.05085189213868,0.234263104126444,3.03630756745604e-40,2.23903712250666e-37
"UGT1A9",1543.70789891914,-3.81586112204663,0.297005951537211,4.69245617892891e-39,3.28730017614865e-36
"SERPINC1",528.241413749178,-5.58384881751973,0.43505164572914,4.97739361618175e-39,3.32086961696774e-36
"PTGR1",6366.86037238267,-1.72587458023708,0.13502988888383,1.46608133999482e-38,9.33693893393974e-36
"FABP1",290.159016077188,-5.02102123789322,0.401201531511423,2.73328855941459e-37,1.66504808721556e-34
"TM4SF5",200.593065979912,-3.03073195300249,0.246510351393607,4.00865576542206e-36,2.34021983038869e-33
"SLCO2B1",98.0175146365183,-4.44778367045243,0.368474391271429,7.50597674973895e-35,4.2066496096237e-32
"AADAC",151.319133769166,-4.06614261679679,0.347030382727667,4.68205672066521e-33,2.52308833512462e-30
"SERPINA7",146.796340120626,-4.69563427324661,0.398788513676282,7.21797367514557e-33,3.74559367268387e-30
"TDO2",285.253673701723,-2.65051874392706,0.227678968878881,1.46769733738462e-32,7.34425264074856e-30
"HAO1",171.164752599575,-3.44028765047373,0.295861111920249,2.06828711632433e-32,9.99267958166215e-30
"GPR153",154.206434647986,-2.78292662267454,0.243490777284148,1.76379011546564e-31,8.23748776926301e-29
"SMIM14",747.473692739927,-1.90951212426386,0.170828756010396,3.40603572722879e-30,1.53941827658718e-27
"CLRN3",163.388023869376,-2.48347401932051,0.222472488958011,3.74135277073586e-30,1.63812792721188e-27
"AQP9",233.163078693484,-5.10602941787909,0.460345453112486,4.33670092288443e-30,1.84125807971314e-27
"SERPINF2",404.099346786193,-4.76651268136452,0.43009087334095,9.15185038967654e-30,3.77136987675759e-27
"RNASE4",209.2964186088,-2.10181727422098,0.191078165731061,2.18245860090642e-29,8.73669355922854e-27
"ESPN",59.1362020694888,-5.2471415281224,0.472115992671139,6.06034312727611e-29,2.35865187656293e-26
"SPINK1",1907.93069897232,-3.81717134919811,0.351441047025185,1.01448609455844e-28,3.84161207320495e-26
"AQP3",229.002462988119,-2.81773242234435,0.2600128128321,1.30107365987167e-28,4.79719553906892e-26
"C4BPB",333.803383795119,-2.38325767243793,0.220277800459911,1.47378658134716e-28,5.29467276698847e-26
"GJB1",212.735802080889,-3.96503355042636,0.367834036803717,2.58025221143523e-28,9.03797843360475e-26
"ADH1C",54.392943002607,-3.60658864177082,0.336186622026472,5.891939142949e-28,2.01346242272825e-25
"SERPINA6",102.111009779977,-3.61379573236087,0.343443388046116,3.16033964452556e-27,1.05427425617732e-24
"LINC02817",86.75019210891,-4.24273870669803,0.405846784593102,3.52251140523276e-27,1.14776528601665e-24
