"genes","logFC","logCPM","PValue","FDR"
"HAO2",-5.04718394480883,6.03923170232409,2.42532055197091e-90,3.26108601418008e-86
"CYP3A4",-5.77812984750997,6.00969932730579,1.91539941270881e-72,1.28772302516413e-68
"CYP2C8",-5.23743304874662,4.25091666133558,1.27159459998464e-69,5.69928699713116e-66
"HSD17B6",-4.23170339610711,5.57231735205217,5.80722602285448e-64,1.95209902758253e-60
"CYP1A1",7.54744610388205,7.29484945171801,2.88576356564902e-60,7.76039538074335e-57
"RDH16",-6.42881207454053,3.21597366849418,2.91324404090314e-56,6.52857989566393e-53
"ADH1C",-4.35247092314876,3.16825767390463,2.96208297669805e-47,5.68973824352599e-44
"SERPINB2",9.06368599519928,5.48509789525155,1.02470842042713e-43,1.72227867763291e-40
"SELENBP1",-2.75786468372784,7.98963634559814,1.33421135471547e-41,1.99331176394491e-38
"ADH1B",-5.11295287170974,8.00077493822133,7.01274538457312e-40,9.42933744409701e-37
"SLC37A2",3.47103256743697,4.99918063079283,3.18690178672749e-39,3.89555285675799e-36
"KNG1",-2.89446048149072,7.14564962670475,1.63096127754782e-38,1.82749211149233e-35
"ABCG8",-4.2477877020315,3.23267158180861,2.47183660249919e-38,2.55663961209263e-35
"TDO2",-2.99744678775682,5.5650573075319,3.30050065294309e-38,3.16989512710519e-35
"MFSD2A",-2.37749198376557,4.2518604959633,1.82234650546945e-34,1.63355140750281e-31
"SLCO2B1",-3.40041783396809,4.01125574064656,4.94357001967734e-34,4.15445265528634e-31
"RRM2",4.82875034834045,6.97965802019189,5.76983261142684e-34,4.56359819372031e-31
"PCLAF",4.23682904660355,5.97129304777129,3.72051577673635e-32,2.77922528522205e-29
"C6",-2.13333216660059,7.02734997678743,1.11939461032836e-31,7.92177891077637e-29
"CDK1",4.85179012679443,5.42432910748763,1.35523517752275e-31,9.11124609848547e-29
"CYP4B1",-3.01276670799548,6.99690683925876,1.3474889736423e-29,8.62777939980686e-27
"CYP3A7",-3.85643678063786,2.7408907526248,1.27243716602942e-28,7.77690460655984e-26
"CYP7A1",-7.64426016731852,2.25821173701519,1.40119553069727e-28,8.19151091554587e-26
"CYP1B1",5.9556331962309,7.89897620841931,3.13630913746488e-28,1.7571171942647e-25
"FABP1",-4.69105835783239,5.58802751747276,3.54832153269815e-28,1.90842925314637e-25
"CENPU",4.31547209144252,4.79651850218533,4.05540435518927e-28,2.09726795999519e-25
"TK1",4.34297454254089,5.25830141131818,4.42731550550262e-28,2.20480312174031e-25
"PTTG1",4.09224320174544,4.78055334198266,5.93924688845086e-27,2.85211120221822e-24
"CYP3A5",-3.29661794547832,7.29937397634581,8.34382257383571e-27,3.8686564940619e-24
"F2",-1.82210179461886,6.08117426909526,1.81643129748653e-25,8.14124507533462e-23
"STMN1",3.26672232773754,6.10082913869561,2.52474731593302e-25,1.0950887874205e-22
"TYMS",2.9357315390187,6.95223770960802,4.91779071726073e-25,2.06639418700899e-22
"SLC2A2",-2.90973383601774,2.76131384453001,5.17740164395126e-25,2.10955583347178e-22
"GATM",-2.56315958928233,7.96596741929352,5.6719017423156e-25,2.24307031844634e-22
"TOP2A",4.16813549422564,5.16846970622459,1.51421194267179e-24,5.81716965176138e-22
"AGXT2",-3.13434122243184,2.61650290429487,2.70971703935882e-24,1.01207931420052e-21
"ETNK2",-2.10191627014929,8.16277629034088,3.90635877209045e-24,1.41959189323049e-21
"ZWINT",4.50013601020442,5.20686616432621,5.9841153568949e-24,2.11743197602129e-21
"C4BPB",-2.2237904048819,5.79057089268842,8.01558862538336e-24,2.75515367093734e-21
"CALML4",-2.56127317440807,3.64369089237451,8.19620309664535e-24,2.75515367093734e-21
"RNASE4",-1.8822764696483,5.11780497731783,8.87006475246487e-24,2.90894855272299e-21
"PDZK1",-2.14151200042555,5.64789056325422,1.45836423199376e-23,4.6688489198543e-21
"GLYCTK",-2.2720291048033,5.19016826522989,1.62155987673577e-23,5.07058002385796e-21
"DPYS",-3.66340674541497,2.71388624455931,1.70349312570977e-23,5.14657461604643e-21
"TUBA1B",2.93468990557405,8.8838594681383,1.72241453013602e-23,5.14657461604643e-21
"ASF1B",4.67172317214353,4.65479390375656,1.85545104396023e-23,5.42356407328028e-21
"AURKB",4.36037993659201,3.97858796661654,3.10216903560903e-23,8.87484358570193e-21
"CDH1",-4.12561834775664,2.1645897754649,3.18503357352216e-23,8.92207529782895e-21
"GNMT",-3.92029122643216,2.45084704455497,8.26238426435275e-23,2.26726569017321e-20
"ABAT",-2.72367606955151,5.59894947545318,8.86821015975543e-23,2.38483907616143e-20
"DIO1",-4.21267454473275,3.76210851970977,1.92731895179842e-22,5.08131973056501e-20
"PWWP3B",-2.23917325432891,3.75054512519791,2.43363439644618e-22,6.29281694127219e-20
"SMAD3-DT",-2.68242049686036,2.72033741859703,2.69971662027894e-22,6.82095784871597e-20
"ACAD11",-1.63572823079393,5.75154041626101,2.73934050149236e-22,6.82095784871597e-20
"SPC25",3.97831515855627,3.45401843354503,3.01366439005692e-22,7.36758752521914e-20
"RRAD",3.36602093645836,4.76265223945683,4.34613606267006e-22,1.0435383124761e-19
"RBP5",-2.57341830337401,3.33574374143381,4.56621034752204e-22,1.07714498829441e-19
"IGFBP1",4.27275489969185,6.02789079170405,5.00590377480553e-22,1.16050658889716e-19
"TCF19",4.37545657385078,4.63458783397391,5.72295928038568e-22,1.30425272006891e-19
"EHHADH",-1.75991950603925,6.4739750462719,6.86126802039408e-22,1.53761016337031e-19
"MELK",3.63294403287344,3.54951612589937,9.17567733973117e-22,2.02255995918074e-19
"ALDOB",-3.87366753767662,2.80769270234677,1.48643583359021e-21,3.22364777717e-19
"DTL",4.47297873406713,3.19216125733595,1.5719822567652e-21,3.35505927372458e-19
"ABRACL",-1.87930986056333,6.96022396874531,1.6015086781452e-21,3.36466963849068e-19
"CRYL1",-1.74058667744497,5.54729534118576,2.16676438565877e-21,4.48220214301044e-19
"PON1",-2.73160536785073,3.72331740032768,2.65648113489204e-21,5.39323641506668e-19
"ESPN",-2.39509473904057,3.29941281604421,2.68739282916457e-21,5.39323641506668e-19
"ANG",-1.83479098843835,5.70838052343702,3.32563879102197e-21,6.57596164471785e-19
"CDC45",4.61220839445034,3.19951812852544,3.83316120740244e-21,7.46966457894685e-19
"NEIL3",5.06882453302822,2.70617584797573,3.93083709149462e-21,7.55057650460524e-19
"PCNA",2.4873264058031,7.71912695579685,7.08566483986606e-21,1.34188520333576e-18
"SLC38A3",-3.31721047401625,3.61582576816112,7.53658927445196e-21,1.4074580470039e-18
"ALB",-2.13615087343314,14.178972738371,8.92596196537237e-21,1.64408882995064e-18
"NR1H4",-2.12716621508948,4.5031005394767,1.30562795818681e-20,2.37236128726755e-18
"CCNA2",3.65042055260783,4.43266546997106,1.32974538821511e-20,2.38396753199205e-18
"CDKN3",2.87938467749414,4.01710587986225,1.36508502410526e-20,2.41512279396307e-18
"ALPL",-2.7202448849198,3.52355348641473,2.33768577059831e-20,4.08214582746297e-18
"RFC4",2.84326867700084,4.21111654754086,3.89072249407989e-20,6.70700700710233e-18
"BIRC5",3.88532497866254,4.46818023743744,4.51691034423551e-20,7.68789575804946e-18
"MAD2L1",3.46459144308359,4.34948336351683,5.24370887440426e-20,8.81336369065496e-18
"C4BPA",-1.97349123907652,5.51966732446992,9.88763540618692e-20,1.64134747742703e-17
"CIDEB",-2.28341277181828,4.12659042089249,1.10793184592614e-19,1.81673800003937e-17
"SMIM14",-1.71943498035108,6.95500027956074,1.29893603180027e-19,2.10427637151645e-17
"SLC10A1",-3.95877258050807,1.85261896013292,1.47137413837671e-19,2.35524960293015e-17
"CENPH",3.20910179744822,3.41081636348456,1.68570591198611e-19,2.66658843441945e-17
"NUSAP1",3.54209144732233,4.60081198448997,1.77273392708211e-19,2.77164888180768e-17
"CCNE2",4.62338806230463,3.4434040162609,3.2103812484745e-19,4.96169957091817e-17
"CENPW",3.73696265425082,4.46880626035296,3.48598517623999e-19,5.32642689542306e-17
"EZH2",3.06193610461525,4.05026380977864,4.91244526090382e-19,7.42165606495649e-17
"TACC3",3.66624467544248,4.42950830227905,6.07566330077404e-19,9.07704097135642e-17
"ECHDC2",-2.03027120860096,4.87630864475527,7.10968460596929e-19,1.05051449683366e-16
"ANLN",3.95097844484587,4.83619029505263,7.96803213293096e-19,1.16454521803684e-16
"RIDA",-1.50454412131766,7.5686624963623,9.17739817625376e-19,1.32687414922482e-16
"HAO1",-2.29031856133165,4.8267820865787,9.57324523242538e-19,1.36938144037438e-16
"PBLD",-2.11841210835498,3.63811151832203,1.12412860882106e-18,1.59105613412715e-16
"GINS2",3.44425591254159,3.66904611594198,1.18920970402601e-18,1.66563684170144e-16
"ENPP6",-4.04091309339458,1.92274722915377,1.22584451145883e-18,1.69924796918304e-16
"ABCC6",-1.69673569374412,4.47935751111959,1.3016367920326e-18,1.78589880670106e-16
"DSCC1",3.52768206882138,3.2130330110389,1.39109196948124e-18,1.88935582036815e-16
"ELMO1",-2.20957475035158,3.58529151275951,1.42983697389638e-18,1.92255879510107e-16
"CEP55",4.53563818796559,3.59777472311401,1.78045585923267e-18,2.37029796863787e-16
"PEPD",-1.59318424667859,6.78087262456851,2.09463650569507e-18,2.76122377015451e-16
"UBE2T",2.5051661728699,4.75551343663695,2.14334769059182e-18,2.79129137162806e-16
"FMO3",-2.02937126647308,7.10635215282471,2.1589640238682e-18,2.79129137162806e-16
"DHCR24",-1.69385429849452,8.96146788397882,2.21840307526646e-18,2.84082359524122e-16
"LINC02762",2.38547033196917,3.61397508512763,2.49201523117609e-18,3.16109781116922e-16
"GINS4",4.39628733906776,2.87420818823836,3.11456350759433e-18,3.91387111430966e-16
"FCGRT",-1.62089558267017,6.5926134504601,3.16259398095429e-18,3.93742950628809e-16
"CDCA5",4.81909473710689,4.24024377051124,3.84022917075523e-18,4.73722214953897e-16
"HJURP",4.7119311420575,3.75833164787728,4.1930673980426e-18,5.12545311218917e-16
"CDT1",4.56592677005531,3.93576329587281,7.33333724793805e-18,8.88324798520495e-16
"TMSB15A",4.26290171630312,2.97648564042955,8.10312417773518e-18,9.72808997266315e-16
"FAM111B",4.27521798071813,4.02982107650512,9.07334812984071e-18,1.07964813233485e-15
"ITIH4",-1.72306128497766,7.33566852585912,9.82157587666035e-18,1.15842902839978e-15
"EXO1",6.00520190700142,2.89480755291899,1.02458475223834e-17,1.19796231118232e-15
"CLRN3",-1.68723285301318,4.76133725992565,1.08317539545892e-17,1.25554968683971e-15
"ZBED3",-1.67271121868194,5.44588404989033,1.11863617232842e-17,1.28557110881436e-15
"EREG",3.21532060866067,4.39094023211179,1.38722043118474e-17,1.58072592522966e-15
"AREG",2.39921898426881,5.97056626027272,1.47703226240134e-17,1.66892233615533e-15
"DIAPH3",5.08957890072768,2.23341376696914,1.4921112156297e-17,1.66980395753793e-15
"MTTP",-2.84556447602755,4.93303102504039,1.50264970148809e-17,1.66980395753793e-15
"MCM10",8.99414834919749,1.99559016616707,2.30187969742166e-17,2.53697331242062e-15
"AQP9",-4.0069212179015,5.26544832719027,2.52054780425522e-17,2.75538908748095e-15
"GINS1",3.60979447612343,2.51796019747901,2.88948664089422e-17,3.13322882044062e-15
"KIF2C",4.15803084887329,3.32584645016561,3.025241579099e-17,3.25419186180521e-15
"HMGB2",2.51865860448615,5.91248119112478,3.57020497908612e-17,3.80991874196761e-15
"CENPK",4.71780846192774,2.66139654401128,3.78009669083041e-17,4.00214016574061e-15
"SHCBP1",3.89298424016823,2.47678582761312,5.83898130609047e-17,6.13366739388222e-15
"KHK",-2.32450910861132,5.89581763282233,7.32276119326622e-17,7.63270131819051e-15
"MCM2",3.56959084196914,4.21348153248481,1.11574680068217e-16,1.15402549861326e-14
"NCAPH",4.84489434601717,2.61925117208117,1.14428822592438e-16,1.15966098750324e-14
"TTK",4.21279718832599,2.40155162112631,1.14592167429248e-16,1.15966098750324e-14
"TSPAN33",-1.6937411221432,4.50278431781982,1.14706910112993e-16,1.15966098750324e-14
"SKA1",5.16140358061555,2.34927509012401,1.32014702288505e-16,1.32467887087406e-14
"NDC80",3.59719359224891,3.24345938459959,1.40057670181808e-16,1.39497439501081e-14
"TMPRSS2",-2.29425499940473,2.73573022595579,1.50625265257681e-16,1.48919655636381e-14
"FEN1",3.34100242078048,5.19149810357629,1.52640185158961e-16,1.49810213842875e-14
"HNF4A",-2.26737636644799,5.37293955417023,1.60480591788089e-16,1.56363915737873e-14
"HNF4A-AS1",-7.85463657402867,0.75983931867029,1.680332984478e-16,1.62545016613606e-14
"CDC6",3.76824687659758,3.79560156231185,1.7876499337941e-16,1.71691007212824e-14
"DGAT2",-1.47228068769509,5.83045902115002,2.39108281889836e-16,2.2801772753835e-14
"NECTIN4",3.37029919201388,5.01616136572578,2.84058626097643e-16,2.6897551313443e-14
"CCDC34",3.3277950151345,3.53519129668666,2.8884078326828e-16,2.71591130896873e-14
"FAS",1.64165995194059,5.60093225250837,4.14198778092565e-16,3.86758109043933e-14
"MND1",3.7920344169192,2.96710668375345,5.19322086318698e-16,4.81572742940773e-14
"KIF11",3.5569104244166,3.37199826229663,5.30298138582567e-16,4.88382792560356e-14
"DHFR",2.3364019801763,5.50114262122092,6.25645117002542e-16,5.72273758041917e-14
"C2orf72",-1.90592127673626,4.05055619889866,8.58559779947444e-16,7.80013162241441e-14
"SLC7A5",3.78139837775146,2.26020485989036,8.75217849617764e-16,7.89810684963789e-14
"SMOC1",-2.1816890714827,3.77744698175251,1.05286463580255e-15,9.43787859533404e-14
"BTNL8",-3.01523410784312,3.08833117856836,1.08421565368904e-15,9.65454548311449e-14
"CCK",4.6433280679799,1.88957431080497,1.12890151371936e-15,9.98632220623057e-14
"E2F7",5.48360583313695,3.05735972254826,1.19741198267775e-15,1.0523138247768e-13
"NBPF13P",-3.63377768037658,2.04392258845621,1.31670005375206e-15,1.14963304693183e-13
"CHST13",-2.14464314033972,2.85626983530877,1.36799403300081e-15,1.18671275920832e-13
"E2F1",3.30361782188389,3.51285999014628,1.65977457833253e-15,1.43059801155508e-13
"DPYD",-1.72923667399721,4.57815387812176,1.87512923470558e-15,1.60592278279307e-13
"CLDN7",-2.26807036890739,2.70700543820766,2.02729163353382e-15,1.7252508420567e-13
"PKLR",-5.10310443259636,1.17677738414027,2.12043747899871e-15,1.79316995865513e-13
"CADPS2",-1.78424923210284,4.676584982227,2.303558759273e-15,1.93585319232404e-13
"TM7SF2",-1.86891436250703,6.17369004162798,2.3778565931988e-15,1.98587948771124e-13
"CYP2C19",-3.68159728073299,1.25596868056802,2.67058198095e-15,2.2165830441885e-13
"PBK",3.18320462465677,4.70502119486423,3.07964123429831e-15,2.54042061572853e-13
"NCAPG2",3.43030051790773,4.06181431015224,3.1142139826603e-15,2.55327568358844e-13
