"genes","logFC","logCPM","PValue","FDR"
"HSD17B6",-6.17652403211346,5.57231735205217,5.69233076093414e-99,7.65390794115205e-95
"CYP2C8",-8.46942397460752,4.25091666133558,5.03874476490311e-92,3.38754810544436e-88
"HAO2",-4.83887229215809,6.03923170232409,3.37230445827133e-87,1.51146685819721e-83
"KNG1",-4.45115255330569,7.14564962670475,1.28679349314306e-74,4.3255563272004e-71
"C6",-3.57057731593994,7.02734997678743,9.35322579072171e-73,2.51526947964088e-69
"CYP3A4",-5.43815642674769,6.00969932730579,4.47653280087333e-69,1.00319100067571e-65
"RDH16",-7.45952188532979,3.21597366849418,4.17313440992946e-61,8.01599503941593e-58
"ADH1B",-6.96373117534318,8.00077493822133,2.43677592567658e-59,4.09561113708092e-56
"ABCG8",-6.50875312588125,3.23267158180861,1.07775236716727e-54,1.6101620365479e-51
"F2",-2.85455549661451,6.08117426909526,2.9032092599801e-53,3.90365517096924e-50
"ESPN",-5.30623769835242,3.29941281604421,1.395262474921e-52,1.70551811252616e-49
"RBP4",-3.76119041737251,11.9296270998501,2.00845881820673e-51,2.25047810580065e-48
"ASGR1",-4.36010371440665,4.88795433070755,3.07500207995127e-50,3.18049830515575e-47
"SLCO2B1",-4.52332788527902,4.01125574064656,6.44477926314018e-48,6.18975014087021e-45
"ANG",-2.73416985149143,5.70838052343702,9.77904930984845e-41,8.76593980134815e-38
"C4BPA",-3.10821548342452,5.51966732446992,4.06200486813605e-40,3.41360734105984e-37
"ADH1C",-3.67969877354189,3.16825767390463,1.61462411924415e-39,1.27707270043276e-36
"ALB",-3.04042034144719,14.178972738371,1.04468417603638e-37,7.80379079499175e-35
"SELENBP1",-2.58533122002904,7.98963634559814,2.4297655279462e-37,1.71950669940866e-34
"TM4SF5",-3.09308670194431,5.06378181632265,3.26547469802919e-37,2.19537863948502e-34
"CPB2",-3.64514555173129,8.03376584588169,6.34650131423366e-37,4.06357412719932e-34
"ITIH4",-2.60817494026012,7.33566852585912,3.98594080204019e-36,2.43613454655602e-33
"GPR153",-2.8437802429084,4.67785417698369,7.31816334173855e-36,4.27826192578333e-33
"HAO1",-3.50693373839889,4.8267820865787,1.31343763294005e-35,7.35853433854664e-33
"AADAC",-4.13766578202105,4.65262331506229,8.73314801050544e-35,4.69703632597025e-32
"APOH",-3.14843422786041,9.15596151400387,1.24699099387616e-34,6.44886188602266e-32
"CLRN3",-2.54211670640004,4.76133725992565,6.22949562525323e-34,3.10228882137611e-31
"SERPINA7",-4.76892653653824,4.59733581654406,2.04218873792912e-33,9.80688206078393e-31
"DPYS",-5.3514311182697,2.71388624455931,1.06773073254574e-32,4.95058876889999e-30
"TDO2",-2.70940406667812,5.5650573075319,1.73464152605807e-32,7.77466331979226e-30
"UGT1A9",-3.88397594180479,8.0035433042255,1.22195357914302e-31,5.30012510488936e-29
"ABRACL",-2.3683490728712,6.96022396874531,1.39689243432034e-31,5.86956739745976e-29
"LINC02817",-4.33938030098953,3.8637480642037,1.97976778723998e-31,8.06665383855415e-29
"CALML4",-3.11867859205273,3.64369089237451,2.9402998870158e-31,1.16280212590631e-28
"FABP1",-5.10240347522871,5.58802751747276,4.79339144175667e-31,1.84148403788172e-28
"AGXT2",-3.90451704714005,2.61650290429487,6.25868323800145e-31,2.33761818939354e-28
"SERPINA6",-3.69273070444395,4.08758765720304,2.61756122065778e-30,9.5123589656661e-28
"TF",-5.40288315719069,10.4975221963716,3.81980410479472e-30,1.35160752613341e-27
"CYP3A7",-3.88256210459549,2.7408907526248,1.25056804481628e-29,4.31157382835889e-27
"RNASE4",-2.1558630580968,5.11780497731783,1.44588633437012e-29,4.86034691298515e-27
"UGDH",-1.97029352427625,7.76327043129362,7.27537359808027e-29,2.38596764389725e-26
"ABCB4",-2.73871181168122,3.51741278139495,8.57797371964082e-29,2.67571818569205e-26
"AQP3",-2.88320660189212,5.24734968835975,8.66750576668265e-29,2.67571818569205e-26
"SMOC1",-3.31424693930162,3.77744698175251,8.75588280309758e-29,2.67571818569205e-26
"SERPINC1",-5.66794751554001,6.45435284591671,1.61330405831909e-28,4.82055252625745e-26
"PON1",-3.28541251845343,3.72331740032768,2.2076753669214e-28,6.45313108339678e-26
"C4BPB",-2.44299874260879,5.79057089268842,1.21303976058872e-27,3.47032608954806e-25
"GJB1",-4.04942139408781,5.14112176393825,1.99596087899009e-26,5.59118541227098e-24
"AFM",-5.34213153904008,2.52842105954938,2.69424745033548e-26,7.39323494228794e-24
"CYP7A1",-6.129899202341,2.25821173701519,3.53478228332966e-26,9.50573651633013e-24
"MTTP",-3.61684861010996,4.93303102504039,8.79071316488166e-25,2.31764567088233e-22
"SMIM14",-1.95829309356619,6.95500027956074,1.733298499665e-24,4.48190992817223e-22
"AQP9",-5.2001651408676,5.26544832719027,5.80222556689188e-24,1.47201367872506e-21
"DGAT2",-1.84674074204325,5.83045902115002,7.18991166076682e-24,1.79028800353094e-21
"CIDEB",-2.51039631109496,4.12659042089249,1.96683120130026e-23,4.80836587866969e-21
"CYP2C19",-5.78529087902536,1.25596868056802,2.03180596327305e-23,4.87851124681596e-21
"ST6GAL1",-5.08963591418626,4.42235368612899,3.1663876662974e-23,7.46934185281312e-21
"SMAD3-DT",-2.7243210175221,2.72033741859703,3.50787691625792e-23,8.13222638206966e-21
"SERPINF2",-4.85829777562842,6.06738347600716,3.62984207609073e-23,8.27234856866373e-21
"IQGAP2",-2.03744676564792,4.17034356811733,4.09189824380547e-23,9.16994396436806e-21
"PEG10",-2.09438022550616,6.770145484583,8.2543768042448e-23,1.8194811558996e-20
"BICDL1",-2.486929193371,3.10067924762637,1.70399755650032e-22,3.69547599108118e-20
"SERPIND1",-4.93188563496632,3.35050325890002,1.99489735163821e-22,4.25768091906784e-20
"SPINK1",-3.89870302273866,8.31032597403555,5.27799682544287e-22,1.10887414554539e-19
"CFHR3",-5.17595474185668,1.614697055125,1.32211947758891e-21,2.73495669164007e-19
"CHST13",-2.66184635787939,2.85626983530877,1.5003909743769e-21,3.05670561234421e-19
"HPR",-3.56571349172893,4.85046083792861,2.0023759910326e-21,4.01849963812304e-19
"SERPINA10",-4.88622615729706,3.90024616598189,2.11608316878392e-21,4.14536184211552e-19
"GATM",-2.34002587722591,7.96596741929352,2.12724949506151e-21,4.14536184211552e-19
"PTGR1",-1.76749593080236,10.0460516179939,2.19606482140749e-21,4.21832679837788e-19
"IL1R2",1.9693749955731,6.36342186501217,2.40790860685651e-21,4.560104102506e-19
"PRODH2",-3.52720220346192,4.11715663995772,2.5342823265293e-21,4.73277224479346e-19
"BTNL8",-3.83456200596395,3.08833117856836,2.74430530027888e-21,5.05478480377395e-19
"F5",-2.15561530976327,5.0661424728948,2.99756591968059e-21,5.44665829135475e-19
"PLGLB2",-3.76872633558989,4.09929048623345,3.77202094912583e-21,6.76247915759279e-19
"GBA3",-4.4473067274133,4.34330811608242,5.14797939228047e-21,9.10785933007936e-19
"ALDOB",-3.71151081721299,2.80769270234677,1.15286846025391e-20,2.01317783332132e-18
"TTR",-6.50755416667341,9.95206470520308,1.21346677512692e-20,2.09183003312263e-18
"MFSD2A",-1.69917929369995,4.2518604959633,1.38397070148218e-20,2.35555317115561e-18
"KLB",-4.72121744343923,1.62347886069129,2.63470227063444e-20,4.42827584136884e-18
"ASGR2",-2.50571294264713,3.50407622207188,3.51739644647585e-20,5.83887810114991e-18
"ERBB3",-1.96521233553887,4.42571817866699,7.72055029072489e-20,1.26598194157423e-17
"CYP4F3",-2.94429452263929,5.41001578185456,2.84506035170058e-19,4.60899776975495e-17
